vma_hex,file_offset_hex,w0,w1,w2,w3,consumer,role
0x1c2018f8,0x00ef8,2276,565,2276,565,"put variant 0x1c22a039","(W1-W7, W7): x4 = 2276*a + 565*(a+b)  [a=c1,b=c7]"
0x1c201900,0x00f00,-3406,565,-3406,565,"put variant 0x1c22a039","(-(W1+W7), W7): x5 = -3406*b + 565*(a+b)"
0x1c201908,0x00f08,-799,2408,-799,2408,"put variant 0x1c22a039","(-(W3-W5), W3): x6 = -799*a + 2408*(a+b)  [a=c5,b=c3]"
0x1c201910,0x00f10,-4017,2408,-4017,2408,"put variant 0x1c22a039","(-(W3+W5), W3): x7 = -4017*b + 2408*(a+b)"
0x1c201918,0x00f18,-3784,1108,-3784,1108,"put variant 0x1c22a039","(-(W2+W6), W6): x2 = -3784*a + 1108*(a+b)  [a=c6,b=c2]"
0x1c201920,0x00f20,1568,1108,1568,1108,"put variant 0x1c22a039","(W2-W6, W6): x3 = 1568*b + 1108*(a+b)"
0x1c201928,0x00f28,128,0,128,0,"put variant 0x1c22a039","rounding add 128 (dword pair)"
0x1c201930,0x00f30,23168,181,23168,181,"put variant 0x1c22a039","(181*128, 181): 181*v via (v>>15 byte)<<8 and v&0x7fff halves"
0x1c201940,0x00f40,2276,565,2276,565,"residual variant 0x1c22afcd","(W1-W7, W7): x4 = 2276*a + 565*(a+b)  [a=c1,b=c7]"
0x1c201948,0x00f48,-3406,565,-3406,565,"residual variant 0x1c22afcd","(-(W1+W7), W7): x5 = -3406*b + 565*(a+b)"
0x1c201950,0x00f50,-799,2408,-799,2408,"residual variant 0x1c22afcd","(-(W3-W5), W3): x6 = -799*a + 2408*(a+b)  [a=c5,b=c3]"
0x1c201958,0x00f58,-4017,2408,-4017,2408,"residual variant 0x1c22afcd","(-(W3+W5), W3): x7 = -4017*b + 2408*(a+b)"
0x1c201960,0x00f60,-3784,1108,-3784,1108,"residual variant 0x1c22afcd","(-(W2+W6), W6): x2 = -3784*a + 1108*(a+b)  [a=c6,b=c2]"
0x1c201968,0x00f68,1568,1108,1568,1108,"residual variant 0x1c22afcd","(W2-W6, W6): x3 = 1568*b + 1108*(a+b)"
0x1c201970,0x00f70,128,0,128,0,"residual variant 0x1c22afcd","rounding add 128 (dword pair)"
0x1c201978,0x00f78,23168,181,23168,181,"residual variant 0x1c22afcd","(181*128, 181): 181*v via (v>>15 byte)<<8 and v&0x7fff halves"
