body,vma_hex,op,dst,src,imm_dec,bytes_hex
scalar_put_0x1c22abf2,0x1c22ac1f,imul,esi,esi,565,69f635020000
scalar_put_0x1c22abf2,0x1c22ac25,imul,ebx,ebx,2276,69dbe4080000
scalar_put_0x1c22abf2,0x1c22ac36,imul,ebx,ebx,3406,69db4e0d0000
scalar_put_0x1c22abf2,0x1c22ac48,shl,eax,,11,c1e00b
scalar_put_0x1c22abf2,0x1c22ac64,imul,esi,esi,799,69f61f030000
scalar_put_0x1c22abf2,0x1c22ac6a,imul,ebx,ebx,2408,69db68090000
scalar_put_0x1c22abf2,0x1c22ac7b,imul,ebx,ebx,4017,69dbb10f0000
scalar_put_0x1c22abf2,0x1c22ac8b,shl,eax,,11,c1e00b
scalar_put_0x1c22abf2,0x1c22ac94,add,eax,,128,0580000000
scalar_put_0x1c22abf2,0x1c22aca9,imul,ebx,ebx,3784,69dbc80e0000
scalar_put_0x1c22abf2,0x1c22acaf,imul,esi,esi,1108,69f654040000
scalar_put_0x1c22abf2,0x1c22acc0,imul,esi,esi,1568,69f620060000
scalar_put_0x1c22abf2,0x1c22ad12,imul,ebx,ebx,181,69dbb5000000
scalar_put_0x1c22abf2,0x1c22ad1b,add,ebx,,128,81c380000000
scalar_put_0x1c22abf2,0x1c22ad21,sar,ebx,,8,c1fb08
scalar_put_0x1c22abf2,0x1c22ad24,imul,esi,esi,181,69f6b5000000
scalar_put_0x1c22abf2,0x1c22ad2a,add,esi,,128,81c680000000
scalar_put_0x1c22abf2,0x1c22ad39,sar,esi,,8,c1fe08
scalar_put_0x1c22abf2,0x1c22ad47,sar,esi,,8,c1fe08
scalar_put_0x1c22abf2,0x1c22ad55,sar,esi,,8,c1fe08
scalar_put_0x1c22abf2,0x1c22ad63,sar,esi,,8,c1fe08
scalar_put_0x1c22abf2,0x1c22ad66,sar,eax,,8,c1f808
scalar_put_0x1c22abf2,0x1c22ad7a,sar,eax,,8,c1f808
scalar_put_0x1c22abf2,0x1c22ad8b,sar,ebx,,8,c1fb08
scalar_put_0x1c22abf2,0x1c22ad8e,sar,esi,,8,c1fe08
scalar_put_0x1c22abf2,0x1c22ad91,sar,eax,,8,c1f808
scalar_put_0x1c22abf2,0x1c22adf2,shl,ecx,,8,c1e108
scalar_put_0x1c22abf2,0x1c22ae13,add,eax,,32,83c020
scalar_put_0x1c22abf2,0x1c22ae25,imul,ecx,ecx,565,69c935020000
scalar_put_0x1c22abf2,0x1c22ae2b,imul,edx,edx,2276,69d2e4080000
scalar_put_0x1c22abf2,0x1c22ae31,imul,ebx,ebx,3406,69db4e0d0000
scalar_put_0x1c22abf2,0x1c22ae37,add,ecx,,4,83c104
scalar_put_0x1c22abf2,0x1c22ae3e,sar,edx,,3,c1fa03
scalar_put_0x1c22abf2,0x1c22ae41,sar,ecx,,3,c1f903
scalar_put_0x1c22abf2,0x1c22ae52,imul,ecx,ecx,799,69c91f030000
scalar_put_0x1c22abf2,0x1c22ae58,imul,edx,edx,2408,69d268090000
scalar_put_0x1c22abf2,0x1c22ae5e,add,edx,,4,83c204
scalar_put_0x1c22abf2,0x1c22ae68,imul,ecx,ecx,4017,69c9b10f0000
scalar_put_0x1c22abf2,0x1c22ae73,shl,eax,,8,c1e008
scalar_put_0x1c22abf2,0x1c22ae76,sar,edx,,3,c1fa03
scalar_put_0x1c22abf2,0x1c22ae8c,imul,edx,edx,3784,69d2c80e0000
scalar_put_0x1c22abf2,0x1c22ae92,imul,ecx,ecx,1108,69c954040000
scalar_put_0x1c22abf2,0x1c22ae98,sar,ebx,,3,c1fb03
scalar_put_0x1c22abf2,0x1c22ae9b,add,ecx,,4,83c104
scalar_put_0x1c22abf2,0x1c22aea8,imul,edx,edx,1568,69d220060000
scalar_put_0x1c22abf2,0x1c22aeb3,sar,edx,,3,c1fa03
scalar_put_0x1c22abf2,0x1c22aebc,sar,ebx,,3,c1fb03
scalar_put_0x1c22abf2,0x1c22aeff,imul,edx,edx,181,69d2b5000000
scalar_put_0x1c22abf2,0x1c22af05,imul,ecx,ecx,181,69c9b5000000
scalar_put_0x1c22abf2,0x1c22af0b,mov,ebx,,128,bb80000000
scalar_put_0x1c22abf2,0x1c22af14,sar,edx,,8,c1fa08
scalar_put_0x1c22abf2,0x1c22af17,sar,ecx,,8,c1f908
scalar_put_0x1c22abf2,0x1c22af2b,sar,ecx,,14,c1f90e
scalar_put_0x1c22abf2,0x1c22af42,sar,edx,,14,c1fa0e
scalar_put_0x1c22abf2,0x1c22af52,sar,ecx,,14,c1f90e
scalar_put_0x1c22abf2,0x1c22af6b,sar,edx,,14,c1fa0e
scalar_put_0x1c22abf2,0x1c22af6e,sar,ecx,,14,c1f90e
scalar_put_0x1c22abf2,0x1c22af82,sar,eax,,14,c1f80e
scalar_put_0x1c22abf2,0x1c22af9b,sar,eax,,14,c1f80e
scalar_put_0x1c22abf2,0x1c22afaf,sar,eax,,14,c1f80e
scalar_residual_0x1c22c0c1,0x1c22c109,shl,edi,,11,c1e70b
scalar_residual_0x1c22c0c1,0x1c22c12b,shl,ecx,,3,c1e103
scalar_residual_0x1c22c0c1,0x1c22c150,imul,edx,edx,2276,69d2e4080000
scalar_residual_0x1c22c0c1,0x1c22c156,imul,esi,esi,565,69f635020000
scalar_residual_0x1c22c0c1,0x1c22c15c,imul,ebx,ebx,3406,69db4e0d0000
scalar_residual_0x1c22c0c1,0x1c22c16e,imul,edi,edi,799,69ff1f030000
scalar_residual_0x1c22c0c1,0x1c22c174,imul,esi,esi,2408,69f668090000
scalar_residual_0x1c22c0c1,0x1c22c181,imul,edi,edi,4017,69ffb10f0000
scalar_residual_0x1c22c0c1,0x1c22c187,shl,ecx,,11,c1e10b
scalar_residual_0x1c22c0c1,0x1c22c18f,add,ecx,,128,81c180000000
scalar_residual_0x1c22c0c1,0x1c22c1a8,imul,ebx,ebx,3784,69dbc80e0000
scalar_residual_0x1c22c0c1,0x1c22c1ae,imul,edi,edi,1108,69ff54040000
scalar_residual_0x1c22c0c1,0x1c22c1bf,imul,edi,edi,1568,69ff20060000
scalar_residual_0x1c22c0c1,0x1c22c202,imul,edx,edx,181,69d2b5000000
scalar_residual_0x1c22c0c1,0x1c22c208,imul,edi,edi,181,69ffb5000000
scalar_residual_0x1c22c0c1,0x1c22c20e,add,edx,,128,81c280000000
scalar_residual_0x1c22c0c1,0x1c22c214,add,edi,,128,81c780000000
scalar_residual_0x1c22c0c1,0x1c22c21a,sar,edx,,8,c1fa08
scalar_residual_0x1c22c0c1,0x1c22c225,sar,ebx,,8,c1fb08
scalar_residual_0x1c22c0c1,0x1c22c22e,sar,edi,,8,c1ff08
scalar_residual_0x1c22c0c1,0x1c22c233,sar,ebx,,8,c1fb08
scalar_residual_0x1c22c0c1,0x1c22c23e,sar,ebx,,8,c1fb08
scalar_residual_0x1c22c0c1,0x1c22c24b,sar,ebx,,8,c1fb08
scalar_residual_0x1c22c0c1,0x1c22c24e,sar,esi,,8,c1fe08
scalar_residual_0x1c22c0c1,0x1c22c25d,sar,ecx,,8,c1f908
scalar_residual_0x1c22c0c1,0x1c22c268,sar,ecx,,8,c1f908
scalar_residual_0x1c22c0c1,0x1c22c26b,sar,edx,,8,c1fa08
scalar_residual_0x1c22c0c1,0x1c22c2ce,shl,edi,,8,c1e708
scalar_residual_0x1c22c0c1,0x1c22c306,add,eax,,32,83c020
scalar_residual_0x1c22c0c1,0x1c22c309,sar,eax,,6,c1f806
scalar_residual_0x1c22c0c1,0x1c22c352,imul,esi,esi,2276,69f6e4080000
scalar_residual_0x1c22c0c1,0x1c22c358,imul,ecx,ecx,565,69c935020000
scalar_residual_0x1c22c0c1,0x1c22c35e,imul,edx,edx,3406,69d24e0d0000
scalar_residual_0x1c22c0c1,0x1c22c364,add,ecx,,4,83c104
scalar_residual_0x1c22c0c1,0x1c22c36e,sar,ecx,,3,c1f903
scalar_residual_0x1c22c0c1,0x1c22c37c,imul,edi,edi,799,69ff1f030000
scalar_residual_0x1c22c0c1,0x1c22c382,imul,edx,edx,2408,69d268090000
scalar_residual_0x1c22c0c1,0x1c22c388,add,edx,,4,83c204
scalar_residual_0x1c22c0c1,0x1c22c38b,add,eax,,32,83c020
scalar_residual_0x1c22c0c1,0x1c22c392,sar,ecx,,3,c1f903
scalar_residual_0x1c22c0c1,0x1c22c39b,imul,ecx,ecx,4017,69c9b10f0000
scalar_residual_0x1c22c0c1,0x1c22c3a6,shl,eax,,8,c1e008
scalar_residual_0x1c22c0c1,0x1c22c3a9,sar,edx,,3,c1fa03
scalar_residual_0x1c22c0c1,0x1c22c3b9,imul,ebx,ebx,3784,69dbc80e0000
scalar_residual_0x1c22c0c1,0x1c22c3bf,imul,ecx,ecx,1108,69c954040000
scalar_residual_0x1c22c0c1,0x1c22c3c5,add,ecx,,4,83c104
scalar_residual_0x1c22c0c1,0x1c22c3cf,imul,ebx,ebx,1568,69db20060000
scalar_residual_0x1c22c0c1,0x1c22c3da,sar,esi,,3,c1fe03
scalar_residual_0x1c22c0c1,0x1c22c3dd,sar,ebx,,3,c1fb03
scalar_residual_0x1c22c0c1,0x1c22c3fc,sar,edx,,3,c1fa03
scalar_residual_0x1c22c0c1,0x1c22c417,imul,esi,esi,181,69f6b5000000
scalar_residual_0x1c22c0c1,0x1c22c41d,imul,edx,edx,181,69d2b5000000
scalar_residual_0x1c22c0c1,0x1c22c423,add,esi,,128,81c680000000
scalar_residual_0x1c22c0c1,0x1c22c42c,sar,esi,,8,c1fe08
scalar_residual_0x1c22c0c1,0x1c22c43b,sar,esi,,14,c1fe0e
scalar_residual_0x1c22c0c1,0x1c22c43e,add,edx,,128,81c280000000
scalar_residual_0x1c22c0c1,0x1c22c44c,sar,edx,,8,c1fa08
scalar_residual_0x1c22c0c1,0x1c22c451,sar,esi,,14,c1fe0e
scalar_residual_0x1c22c0c1,0x1c22c461,sar,esi,,14,c1fe0e
scalar_residual_0x1c22c0c1,0x1c22c474,sar,esi,,14,c1fe0e
scalar_residual_0x1c22c0c1,0x1c22c47c,sar,edi,,14,c1ff0e
scalar_residual_0x1c22c0c1,0x1c22c484,sar,eax,,14,c1f80e
scalar_residual_0x1c22c0c1,0x1c22c499,sar,eax,,14,c1f80e
scalar_residual_0x1c22c0c1,0x1c22c4af,sar,ecx,,14,c1f90e
