symbol,code_bin,bit_length
0,00,2
1,01,2
2,100,3
3,111,3
4,1011,4
5,1101,4
6,10101,5
7,101000,6
8,110000,6
9,110010,6
10,1010010,7
11,1100010,7
12,1100110,7
13,10100110,8
14,11000110,8
15,11001111,8
16,101001111,9
17,110001110,9
18,110011100,9
19,1010011101,10
20,1100111010,10
21,10100111000,11
22,11000111100,11
23,11000111110,11
24,11000111111,11
25,11001110110,11
26,101001110011,12
27,110001111010,12
28,110011101111,12
29,1010011100101,13
30,1100111011101,13
31,10100111001000,14
32,10100111001001,14
33,110001111011101,15
34,11001110111000,14
35,11001110111001,14
36,1100011110110110,16
37,110001111011000,15
38,110001111011111,15
39,1100011110110011,16
40,1100011110110100,16
41,1100011110110101,16
42,110001111011110,15
43,1100011110110111,16
44,1100011110111000,16
45,1100011110111001,16
46,11000111101100101,17
47,110001111011001000,18
48,110001111011001001001000,24
49,110001111011001001001001,24
50,110001111011001001001010,24
51,110001111011001001001011,24
52,110001111011001001001100,24
53,110001111011001001001101,24
54,110001111011001001001110,24
55,110001111011001001001111,24
56,110001111011001001010000,24
57,110001111011001001010001,24
58,110001111011001001010010,24
59,110001111011001001010011,24
60,110001111011001001010100,24
61,110001111011001001010101,24
62,110001111011001001010110,24
63,110001111011001001010111,24
64,110001111011001001011000,24
65,110001111011001001011001,24
66,110001111011001001011010,24
67,110001111011001001011011,24
68,110001111011001001011100,24
69,110001111011001001011101,24
70,110001111011001001011110,24
71,110001111011001001011111,24
72,110001111011001001100000,24
73,110001111011001001100001,24
74,110001111011001001100010,24
75,110001111011001001100011,24
76,110001111011001001100100,24
77,110001111011001001100101,24
78,110001111011001001100110,24
79,110001111011001001100111,24
80,110001111011001001101000,24
81,110001111011001001101001,24
82,110001111011001001101010,24
83,110001111011001001101011,24
84,110001111011001001101100,24
85,110001111011001001101101,24
86,110001111011001001101110,24
87,110001111011001001101111,24
88,110001111011001001110000,24
89,110001111011001001110001,24
90,110001111011001001110010,24
91,110001111011001001110011,24
92,110001111011001001110100,24
93,110001111011001001110101,24
94,110001111011001001110110,24
95,110001111011001001110111,24
96,110001111011001001111000,24
97,110001111011001001111001,24
98,110001111011001001111010,24
99,110001111011001001111011,24
100,110001111011001001111100,24
101,110001111011001001111101,24
102,110001111011001001111110,24
103,110001111011001001111111,24
104,1100011110110010010000000,25
105,1100011110110010010000001,25
106,1100011110110010010000010,25
107,1100011110110010010000011,25
108,1100011110110010010000100,25
109,1100011110110010010000101,25
110,1100011110110010010000110,25
111,1100011110110010010000111,25
112,1100011110110010010001000,25
113,1100011110110010010001001,25
114,1100011110110010010001010,25
115,1100011110110010010001011,25
116,1100011110110010010001100,25
117,1100011110110010010001101,25
118,1100011110110010010001110,25
119,1100011110110010010001111,25
