symbol,code_bin,bit_length
0,1,1
1,01,2
2,0001,4
3,00001,5
4,00101,5
5,00111,5
6,001000,6
7,001100,6
8,0000000,7
9,0000010,7
10,0010010,7
11,0011010,7
12,00000011,8
13,00000111,8
14,00100111,8
15,00110111,8
16,000000101,9
17,001001100,9
18,001101100,9
19,001101101,9
20,0000001000,10
21,0000011001,10
22,0010011011,10
23,0000011011,10
24,0010011010,10
25,00000010011,11
26,00000110100,11
27,00000110101,11
28,000001100001,12
29,0000001001000,13
30,0000011000100,13
31,0000001001010,13
32,0000011000110,13
33,0000011000111,13
34,00000010010010,14
35,00000110001011,14
36,00000010010011,14
37,00000110000011,14
38,00000110000010,14
39,00000010010110,14
40,00000010010111,14
41,00000110000000,14
42,000001100010100,15
43,000001100010101,15
44,0000011000000101,16
45,0000011000000100,16
46,0000011000000110,16
47,00000110000001110,17
48,00000110000001111001101,23
49,00000110000001111001001,23
50,00000110000001111001000,23
51,00000110000001111001010,23
52,00000110000001111001011,23
53,00000110000001111001100,23
54,00000110000001111001110,23
55,00000110000001111001111,23
56,00000110000001111010000,23
57,00000110000001111010001,23
58,00000110000001111010010,23
59,00000110000001111010011,23
60,00000110000001111010100,23
61,00000110000001111010101,23
62,00000110000001111010110,23
63,00000110000001111010111,23
64,00000110000001111011000,23
65,00000110000001111011001,23
66,00000110000001111011010,23
67,00000110000001111011011,23
68,00000110000001111011100,23
69,00000110000001111011101,23
70,00000110000001111011110,23
71,00000110000001111011111,23
72,00000110000001111100000,23
73,00000110000001111100001,23
74,00000110000001111100010,23
75,00000110000001111100011,23
76,00000110000001111100100,23
77,00000110000001111100101,23
78,00000110000001111100110,23
79,00000110000001111100111,23
80,00000110000001111101000,23
81,00000110000001111101001,23
82,00000110000001111101010,23
83,00000110000001111101011,23
84,00000110000001111101100,23
85,00000110000001111101101,23
86,00000110000001111101110,23
87,00000110000001111101111,23
88,00000110000001111110000,23
89,00000110000001111110001,23
90,00000110000001111110010,23
91,00000110000001111110011,23
92,00000110000001111110100,23
93,00000110000001111110101,23
94,00000110000001111110110,23
95,00000110000001111110111,23
96,00000110000001111111000,23
97,00000110000001111111001,23
98,00000110000001111111010,23
99,00000110000001111111011,23
100,00000110000001111111100,23
101,00000110000001111111101,23
102,00000110000001111111110,23
103,00000110000001111111111,23
104,000001100000011110000000,24
105,000001100000011110000001,24
106,000001100000011110000010,24
107,000001100000011110000011,24
108,000001100000011110000100,24
109,000001100000011110000101,24
110,000001100000011110000110,24
111,000001100000011110000111,24
112,000001100000011110001000,24
113,000001100000011110001001,24
114,000001100000011110001010,24
115,000001100000011110001011,24
116,000001100000011110001100,24
117,000001100000011110001101,24
118,000001100000011110001110,24
119,000001100000011110001111,24
