symbol_dec,bit_length,code_bin,mb_type_index,mb_type_name,is_intra,num_motion_vectors,cbpc_cb,cbpc_cr
0,1,1,0,INTER (1-MV),0,1,0,0
1,4,0011,0,INTER (1-MV),0,1,0,1
2,4,0010,0,INTER (1-MV),0,1,1,0
3,6,000101,0,INTER (1-MV),0,1,1,1
4,3,011,1,INTER+Q (1-MV),0,1,0,0
5,7,0000111,1,INTER+Q (1-MV),0,1,0,1
6,7,0000110,1,INTER+Q (1-MV),0,1,1,0
7,9,000000101,1,INTER+Q (1-MV),0,1,1,1
8,3,010,2,INTER4V (4-MV),0,4,0,0
9,7,0000101,2,INTER4V (4-MV),0,4,0,1
10,7,0000100,2,INTER4V (4-MV),0,4,1,0
11,8,00000101,2,INTER4V (4-MV),0,4,1,1
12,5,00011,3,INTRA,1,0,0,0
13,8,00000100,3,INTRA,1,0,0,1
14,8,00000011,3,INTRA,1,0,1,0
15,7,0000011,3,INTRA,1,0,1,1
16,6,000100,4,INTRA+Q,1,0,0,0
17,9,000000100,4,INTRA+Q,1,0,0,1
18,9,000000011,4,INTRA+Q,1,0,1,0
19,9,000000010,4,INTRA+Q,1,0,1,1
20,9,000000001,,STUFFING/ESC,,,,
