idx,sub_class,last,run,level,pri_A_byte,pri_B_u32_hex,pri_A_file_offset_hex,pri_B_file_offset_hex
0,A,0,0,1,0x01,0x00000000,0x056c60,0x0569c0
1,A,0,0,2,0x02,0x00000000,0x056c61,0x0569c4
2,A,0,0,3,0x03,0x00000000,0x056c62,0x0569c8
3,A,0,0,4,0x04,0x00000000,0x056c63,0x0569cc
4,A,0,0,5,0x05,0x00000000,0x056c64,0x0569d0
5,A,0,0,6,0x06,0x00000000,0x056c65,0x0569d4
6,A,0,0,7,0x07,0x00000000,0x056c66,0x0569d8
7,A,0,0,8,0x08,0x00000000,0x056c67,0x0569dc
8,A,0,0,9,0x09,0x00000000,0x056c68,0x0569e0
9,A,0,0,10,0x0a,0x00000000,0x056c69,0x0569e4
10,A,0,0,11,0x0b,0x00000000,0x056c6a,0x0569e8
11,A,0,0,12,0x0c,0x00000000,0x056c6b,0x0569ec
12,A,0,0,13,0x0d,0x00000000,0x056c6c,0x0569f0
13,A,0,0,14,0x0e,0x00000000,0x056c6d,0x0569f4
14,A,0,0,15,0x0f,0x00000000,0x056c6e,0x0569f8
15,A,0,0,16,0x10,0x00000000,0x056c6f,0x0569fc
16,A,0,0,17,0x11,0x00000000,0x056c70,0x056a00
17,A,0,0,18,0x12,0x00000000,0x056c71,0x056a04
18,A,0,0,19,0x13,0x00000000,0x056c72,0x056a08
19,A,0,0,20,0x14,0x00000000,0x056c73,0x056a0c
20,A,0,0,21,0x15,0x00000000,0x056c74,0x056a10
21,A,0,0,22,0x16,0x00000000,0x056c75,0x056a14
22,A,0,0,23,0x17,0x00000000,0x056c76,0x056a18
23,A,0,1,1,0x01,0x00000001,0x056c77,0x056a1c
24,A,0,1,2,0x02,0x00000001,0x056c78,0x056a20
25,A,0,1,3,0x03,0x00000001,0x056c79,0x056a24
26,A,0,1,4,0x04,0x00000001,0x056c7a,0x056a28
27,A,0,1,5,0x05,0x00000001,0x056c7b,0x056a2c
28,A,0,1,6,0x06,0x00000001,0x056c7c,0x056a30
29,A,0,1,7,0x07,0x00000001,0x056c7d,0x056a34
30,A,0,1,8,0x08,0x00000001,0x056c7e,0x056a38
31,A,0,1,9,0x09,0x00000001,0x056c7f,0x056a3c
32,A,0,1,10,0x0a,0x00000001,0x056c80,0x056a40
33,A,0,1,11,0x0b,0x00000001,0x056c81,0x056a44
34,A,0,2,1,0x01,0x00000002,0x056c82,0x056a48
35,A,0,2,2,0x02,0x00000002,0x056c83,0x056a4c
36,A,0,2,3,0x03,0x00000002,0x056c84,0x056a50
37,A,0,2,4,0x04,0x00000002,0x056c85,0x056a54
38,A,0,2,5,0x05,0x00000002,0x056c86,0x056a58
