idx,sub_class,last,run,level,pri_A_byte,pri_B_u32_hex,pri_A_file_offset_hex,pri_B_file_offset_hex
0,A,0,0,1,0x01,0x00000000,0x056ff0,0x056d08
1,A,0,0,2,0x02,0x00000000,0x056ff1,0x056d0c
2,A,0,0,3,0x03,0x00000000,0x056ff2,0x056d10
3,A,0,0,4,0x04,0x00000000,0x056ff3,0x056d14
4,A,0,0,5,0x05,0x00000000,0x056ff4,0x056d18
5,A,0,0,6,0x06,0x00000000,0x056ff5,0x056d1c
6,A,0,0,7,0x07,0x00000000,0x056ff6,0x056d20
7,A,0,0,8,0x08,0x00000000,0x056ff7,0x056d24
8,A,0,0,9,0x09,0x00000000,0x056ff8,0x056d28
9,A,0,0,10,0x0a,0x00000000,0x056ff9,0x056d2c
10,A,0,0,11,0x0b,0x00000000,0x056ffa,0x056d30
11,A,0,0,12,0x0c,0x00000000,0x056ffb,0x056d34
12,A,0,0,13,0x0d,0x00000000,0x056ffc,0x056d38
13,A,0,0,14,0x0e,0x00000000,0x056ffd,0x056d3c
14,A,0,0,15,0x0f,0x00000000,0x056ffe,0x056d40
15,A,0,0,16,0x10,0x00000000,0x056fff,0x056d44
16,A,0,0,17,0x11,0x00000000,0x057000,0x056d48
17,A,0,0,18,0x12,0x00000000,0x057001,0x056d4c
18,A,0,0,19,0x13,0x00000000,0x057002,0x056d50
19,A,0,1,1,0x01,0x00000001,0x057003,0x056d54
20,A,0,1,2,0x02,0x00000001,0x057004,0x056d58
21,A,0,1,3,0x03,0x00000001,0x057005,0x056d5c
22,A,0,1,4,0x04,0x00000001,0x057006,0x056d60
23,A,0,1,5,0x05,0x00000001,0x057007,0x056d64
24,A,0,1,6,0x06,0x00000001,0x057008,0x056d68
25,A,0,1,7,0x07,0x00000001,0x057009,0x056d6c
26,A,0,1,8,0x08,0x00000001,0x05700a,0x056d70
27,A,0,1,9,0x09,0x00000001,0x05700b,0x056d74
28,A,0,1,10,0x0a,0x00000001,0x05700c,0x056d78
29,A,0,1,11,0x0b,0x00000001,0x05700d,0x056d7c
30,A,0,1,12,0x0c,0x00000001,0x05700e,0x056d80
31,A,0,1,13,0x0d,0x00000001,0x05700f,0x056d84
32,A,0,1,14,0x0e,0x00000001,0x057010,0x056d88
33,A,0,1,15,0x0f,0x00000001,0x057011,0x056d8c
34,A,0,2,1,0x01,0x00000002,0x057012,0x056d90
35,A,0,2,2,0x02,0x00000002,0x057013,0x056d94
36,A,0,2,3,0x03,0x00000002,0x057014,0x056d98
37,A,0,2,4,0x04,0x00000002,0x057015,0x056d9c
38,A,0,2,5,0x05,0x00000002,0x057016,0x056da0
39,A,0,2,6,0x06,0x00000002,0x057017,0x056da4
40,A,0,2,7,0x07,0x00000002,0x057018,0x056da8
41,A,0,2,8,0x08,0x00000002,0x057019,0x056dac
42,A,0,2,9,0x09,0x00000002,0x05701a,0x056db0
43,A,0,2,10,0x0a,0x00000002,0x05701b,0x056db4
44,A,0,2,11,0x0b,0x00000002,0x05701c,0x056db8
45,A,0,2,12,0x0c,0x00000002,0x05701d,0x056dbc
46,A,0,3,1,0x01,0x00000003,0x05701e,0x056dc0
47,A,0,3,2,0x02,0x00000003,0x05701f,0x056dc4
48,A,0,3,3,0x03,0x00000003,0x057020,0x056dc8
49,A,0,3,4,0x04,0x00000003,0x057021,0x056dcc
50,A,0,3,5,0x05,0x00000003,0x057022,0x056dd0
51,A,0,3,6,0x06,0x00000003,0x057023,0x056dd4
52,A,0,3,7,0x07,0x00000003,0x057024,0x056dd8
53,A,0,3,8,0x08,0x00000003,0x057025,0x056ddc
54,A,0,3,9,0x09,0x00000003,0x057026,0x056de0
