idx,sub_class,last,run,level,pri_A_byte,pri_B_u32_hex,pri_A_file_offset_hex,pri_B_file_offset_hex
0,A,0,0,1,0x01,0x00000000,0x057300,0x0570b0
1,A,0,0,2,0x02,0x00000000,0x057301,0x0570b4
2,A,0,0,3,0x03,0x00000000,0x057302,0x0570b8
3,A,0,0,4,0x04,0x00000000,0x057303,0x0570bc
4,A,0,0,5,0x05,0x00000000,0x057304,0x0570c0
5,A,0,0,6,0x06,0x00000000,0x057305,0x0570c4
6,A,0,0,7,0x07,0x00000000,0x057306,0x0570c8
7,A,0,0,8,0x08,0x00000000,0x057307,0x0570cc
8,A,0,0,9,0x09,0x00000000,0x057308,0x0570d0
9,A,0,0,10,0x0a,0x00000000,0x057309,0x0570d4
10,A,0,0,11,0x0b,0x00000000,0x05730a,0x0570d8
11,A,0,0,12,0x0c,0x00000000,0x05730b,0x0570dc
12,A,0,0,13,0x0d,0x00000000,0x05730c,0x0570e0
13,A,0,0,14,0x0e,0x00000000,0x05730d,0x0570e4
14,A,0,1,1,0x01,0x00000001,0x05730e,0x0570e8
15,A,0,1,2,0x02,0x00000001,0x05730f,0x0570ec
16,A,0,1,3,0x03,0x00000001,0x057310,0x0570f0
17,A,0,1,4,0x04,0x00000001,0x057311,0x0570f4
18,A,0,1,5,0x05,0x00000001,0x057312,0x0570f8
19,A,0,1,6,0x06,0x00000001,0x057313,0x0570fc
20,A,0,1,7,0x07,0x00000001,0x057314,0x057100
21,A,0,1,8,0x08,0x00000001,0x057315,0x057104
22,A,0,1,9,0x09,0x00000001,0x057316,0x057108
23,A,0,2,1,0x01,0x00000002,0x057317,0x05710c
24,A,0,2,2,0x02,0x00000002,0x057318,0x057110
25,A,0,2,3,0x03,0x00000002,0x057319,0x057114
26,A,0,2,4,0x04,0x00000002,0x05731a,0x057118
27,A,0,2,5,0x05,0x00000002,0x05731b,0x05711c
28,A,0,3,1,0x01,0x00000003,0x05731c,0x057120
29,A,0,3,2,0x02,0x00000003,0x05731d,0x057124
30,A,0,3,3,0x03,0x00000003,0x05731e,0x057128
31,A,0,3,4,0x04,0x00000003,0x05731f,0x05712c
32,A,0,4,1,0x01,0x00000004,0x057320,0x057130
33,A,0,4,2,0x02,0x00000004,0x057321,0x057134
34,A,0,4,3,0x03,0x00000004,0x057322,0x057138
35,A,0,4,4,0x04,0x00000004,0x057323,0x05713c
