idx,sub_class,last,run,level,pri_A_byte,pri_B_u32_hex,pri_A_file_offset_hex,pri_B_file_offset_hex
0,A,0,0,1,0x01,0x00000000,0x0575a8,0x057398
1,A,0,0,2,0x02,0x00000000,0x0575a9,0x05739c
2,A,0,0,3,0x03,0x00000000,0x0575aa,0x0573a0
3,A,0,0,4,0x04,0x00000000,0x0575ab,0x0573a4
4,A,0,0,5,0x05,0x00000000,0x0575ac,0x0573a8
5,A,0,0,6,0x06,0x00000000,0x0575ad,0x0573ac
6,A,0,0,7,0x07,0x00000000,0x0575ae,0x0573b0
7,A,0,0,8,0x08,0x00000000,0x0575af,0x0573b4
8,A,0,0,9,0x09,0x00000000,0x0575b0,0x0573b8
9,A,0,0,10,0x0a,0x00000000,0x0575b1,0x0573bc
10,A,0,0,11,0x0b,0x00000000,0x0575b2,0x0573c0
11,A,0,0,12,0x0c,0x00000000,0x0575b3,0x0573c4
12,A,0,0,13,0x0d,0x00000000,0x0575b4,0x0573c8
13,A,0,0,14,0x0e,0x00000000,0x0575b5,0x0573cc
14,A,0,0,15,0x0f,0x00000000,0x0575b6,0x0573d0
15,A,0,0,16,0x10,0x00000000,0x0575b7,0x0573d4
16,A,0,1,1,0x01,0x00000001,0x0575b8,0x0573d8
17,A,0,1,2,0x02,0x00000001,0x0575b9,0x0573dc
18,A,0,1,3,0x03,0x00000001,0x0575ba,0x0573e0
19,A,0,1,4,0x04,0x00000001,0x0575bb,0x0573e4
20,A,0,1,5,0x05,0x00000001,0x0575bc,0x0573e8
21,A,0,1,6,0x06,0x00000001,0x0575bd,0x0573ec
22,A,0,1,7,0x07,0x00000001,0x0575be,0x0573f0
23,A,0,1,8,0x08,0x00000001,0x0575bf,0x0573f4
24,A,0,1,9,0x09,0x00000001,0x0575c0,0x0573f8
25,A,0,1,10,0x0a,0x00000001,0x0575c1,0x0573fc
26,A,0,1,11,0x0b,0x00000001,0x0575c2,0x057400
27,A,0,2,1,0x01,0x00000002,0x0575c3,0x057404
28,A,0,2,2,0x02,0x00000002,0x0575c4,0x057408
29,A,0,2,3,0x03,0x00000002,0x0575c5,0x05740c
30,A,0,2,4,0x04,0x00000002,0x0575c6,0x057410
31,A,0,2,5,0x05,0x00000002,0x0575c7,0x057414
32,A,0,2,6,0x06,0x00000002,0x0575c8,0x057418
33,A,0,2,7,0x07,0x00000002,0x0575c9,0x05741c
34,A,0,2,8,0x08,0x00000002,0x0575ca,0x057420
35,A,0,3,1,0x01,0x00000003,0x0575cb,0x057424
36,A,0,3,2,0x02,0x00000003,0x0575cc,0x057428
37,A,0,3,3,0x03,0x00000003,0x0575cd,0x05742c
38,A,0,3,4,0x04,0x00000003,0x0575ce,0x057430
39,A,0,3,5,0x05,0x00000003,0x0575cf,0x057434
40,A,0,3,6,0x06,0x00000003,0x0575d0,0x057438
41,A,0,3,7,0x07,0x00000003,0x0575d1,0x05743c
42,A,0,4,1,0x01,0x00000004,0x0575d2,0x057440
43,A,0,4,2,0x02,0x00000004,0x0575d3,0x057444
44,A,0,4,3,0x03,0x00000004,0x0575d4,0x057448
45,A,0,4,4,0x04,0x00000004,0x0575d5,0x05744c
46,A,0,4,5,0x05,0x00000004,0x0575d6,0x057450
47,A,0,5,1,0x01,0x00000005,0x0575d7,0x057454
48,A,0,5,2,0x02,0x00000005,0x0575d8,0x057458
49,A,0,5,3,0x03,0x00000005,0x0575d9,0x05745c
50,A,0,5,4,0x04,0x00000005,0x0575da,0x057460
51,A,0,6,1,0x01,0x00000006,0x0575db,0x057464
52,A,0,6,2,0x02,0x00000006,0x0575dc,0x057468
53,A,0,6,3,0x03,0x00000006,0x0575dd,0x05746c
54,A,0,6,4,0x04,0x00000006,0x0575de,0x057470
55,A,0,7,1,0x01,0x00000007,0x0575df,0x057474
56,A,0,7,2,0x02,0x00000007,0x0575e0,0x057478
57,A,0,7,3,0x03,0x00000007,0x0575e1,0x05747c
58,A,0,8,1,0x01,0x00000008,0x0575e2,0x057480
59,A,0,8,2,0x02,0x00000008,0x0575e3,0x057484
60,A,0,8,3,0x03,0x00000008,0x0575e4,0x057488
61,A,0,9,1,0x01,0x00000009,0x0575e5,0x05748c
62,A,0,9,2,0x02,0x00000009,0x0575e6,0x057490
63,A,0,9,3,0x03,0x00000009,0x0575e7,0x057494
64,A,0,10,1,0x01,0x0000000a,0x0575e8,0x057498
65,A,0,10,2,0x02,0x0000000a,0x0575e9,0x05749c
66,A,0,10,3,0x03,0x0000000a,0x0575ea,0x0574a0
67,A,0,11,1,0x01,0x0000000b,0x0575eb,0x0574a4
68,A,0,11,2,0x02,0x0000000b,0x0575ec,0x0574a8
69,A,0,11,3,0x03,0x0000000b,0x0575ed,0x0574ac
70,A,0,12,1,0x01,0x0000000c,0x0575ee,0x0574b0
71,A,0,12,2,0x02,0x0000000c,0x0575ef,0x0574b4
72,A,0,12,3,0x03,0x0000000c,0x0575f0,0x0574b8
73,A,0,13,1,0x01,0x0000000d,0x0575f1,0x0574bc
74,A,0,13,2,0x02,0x0000000d,0x0575f2,0x0574c0
75,A,0,13,3,0x03,0x0000000d,0x0575f3,0x0574c4
76,A,0,14,1,0x01,0x0000000e,0x0575f4,0x0574c8
77,A,0,14,2,0x02,0x0000000e,0x0575f5,0x0574cc
78,A,0,15,1,0x01,0x0000000f,0x0575f6,0x0574d0
79,A,0,15,2,0x02,0x0000000f,0x0575f7,0x0574d4
80,A,0,16,1,0x01,0x00000010,0x0575f8,0x0574d8
81,A,0,17,1,0x01,0x00000011,0x0575f9,0x0574dc
82,A,0,18,1,0x01,0x00000012,0x0575fa,0x0574e0
83,A,0,19,1,0x01,0x00000013,0x0575fb,0x0574e4
84,A,0,20,1,0x01,0x00000014,0x0575fc,0x0574e8
85,B,1,0,1,0x01,0x00000000,0x0575fd,0x0574ec
86,B,1,0,2,0x02,0x00000000,0x0575fe,0x0574f0
87,B,1,0,3,0x03,0x00000000,0x0575ff,0x0574f4
88,B,1,0,4,0x04,0x00000000,0x057600,0x0574f8
89,B,1,1,1,0x01,0x00000001,0x057601,0x0574fc
90,B,1,1,2,0x02,0x00000001,0x057602,0x057500
91,B,1,1,3,0x03,0x00000001,0x057603,0x057504
92,B,1,1,4,0x04,0x00000001,0x057604,0x057508
93,B,1,2,1,0x01,0x00000002,0x057605,0x05750c
94,B,1,2,2,0x02,0x00000002,0x057606,0x057510
95,B,1,2,3,0x03,0x00000002,0x057607,0x057514
96,B,1,3,1,0x01,0x00000003,0x057608,0x057518
97,B,1,3,2,0x02,0x00000003,0x057609,0x05751c
98,B,1,3,3,0x03,0x00000003,0x05760a,0x057520
99,B,1,4,1,0x01,0x00000004,0x05760b,0x057524
100,B,1,4,2,0x02,0x00000004,0x05760c,0x057528
101,B,1,5,1,0x01,0x00000005,0x05760d,0x05752c
102,B,1,5,2,0x02,0x00000005,0x05760e,0x057530
103,B,1,6,1,0x01,0x00000006,0x05760f,0x057534
104,B,1,6,2,0x02,0x00000006,0x057610,0x057538
105,B,1,7,1,0x01,0x00000007,0x057611,0x05753c
106,B,1,7,2,0x02,0x00000007,0x057612,0x057540
107,B,1,8,1,0x01,0x00000008,0x057613,0x057544
108,B,1,8,2,0x02,0x00000008,0x057614,0x057548
109,B,1,9,1,0x01,0x00000009,0x057615,0x05754c
110,B,1,9,2,0x02,0x00000009,0x057616,0x057550
111,B,1,10,1,0x01,0x0000000a,0x057617,0x057554
112,B,1,10,2,0x02,0x0000000a,0x057618,0x057558
113,B,1,11,1,0x01,0x0000000b,0x057619,0x05755c
114,B,1,11,2,0x02,0x0000000b,0x05761a,0x057560
115,B,1,12,1,0x01,0x0000000c,0x05761b,0x057564
116,B,1,12,2,0x02,0x0000000c,0x05761c,0x057568
117,B,1,13,1,0x01,0x0000000d,0x05761d,0x05756c
118,B,1,13,2,0x02,0x0000000d,0x05761e,0x057570
119,B,1,14,1,0x01,0x0000000e,0x05761f,0x057574
120,B,1,15,1,0x01,0x0000000f,0x057620,0x057578
121,B,1,16,1,0x01,0x00000010,0x057621,0x05757c
122,B,1,17,1,0x01,0x00000011,0x057622,0x057580
123,B,1,18,1,0x01,0x00000012,0x057623,0x057584
124,B,1,19,1,0x01,0x00000013,0x057624,0x057588
125,B,1,20,1,0x01,0x00000014,0x057625,0x05758c
126,B,1,21,1,0x01,0x00000015,0x057626,0x057590
127,B,1,22,1,0x01,0x00000016,0x057627,0x057594
128,B,1,23,1,0x01,0x00000017,0x057628,0x057598
129,B,1,24,1,0x01,0x00000018,0x057629,0x05759c
130,B,1,25,1,0x01,0x00000019,0x05762a,0x0575a0
131,B,1,26,1,0x01,0x0000001a,0x05762b,0x0575a4
132,ESC,-,-,-,-,-,-,-
