symbol_index,file_offset_hex,code_dec,code_bin,bit_length
0,0x05bfc4,1,1,1
1,0x05bfcc,3,0011,4
2,0x05bfd4,5,0101,4
3,0x05bfdc,7,0111,4
4,0x05bfe4,3,00011,5
5,0x05bfec,8,01000,5
6,0x05bff4,12,01100,5
7,0x05bffc,1,000001,6
8,0x05c004,2,000010,6
9,0x05c00c,27,011011,6
10,0x05c014,6,0000110,7
11,0x05c01c,11,0001011,7
12,0x05c024,21,0010101,7
13,0x05c02c,2,00000010,8
14,0x05c034,14,00001110,8
15,0x05c03c,15,00001111,8
16,0x05c044,20,00010100,8
17,0x05c04c,32,00100000,8
18,0x05c054,34,00100010,8
19,0x05c05c,37,00100101,8
20,0x05c064,39,00100111,8
21,0x05c06c,41,00101001,8
22,0x05c074,45,00101101,8
23,0x05c07c,75,01001011,8
24,0x05c084,77,01001101,8
25,0x05c08c,3,000000011,9
26,0x05c094,34,000100010,9
27,0x05c09c,35,000100011,9
28,0x05c0a4,37,000100101,9
29,0x05c0ac,39,000100111,9
30,0x05c0b4,66,001000010,9
31,0x05c0bc,72,001001000,9
32,0x05c0c4,73,001001001,9
33,0x05c0cc,80,001010000,9
34,0x05c0d4,92,001011100,9
35,0x05c0dc,145,010010001,9
36,0x05c0e4,159,010011111,9
37,0x05c0ec,14,0000001110,10
38,0x05c0f4,67,0001000011,10
39,0x05c0fc,76,0001001100,10
40,0x05c104,84,0001010100,10
41,0x05c10c,86,0001010110,10
42,0x05c114,140,0010001100,10
43,0x05c11c,152,0010011000,10
44,0x05c124,154,0010011010,10
45,0x05c12c,155,0010011011,10
46,0x05c134,177,0010110001,10
47,0x05c13c,178,0010110010,10
48,0x05c144,288,0100100000,10
49,0x05c14c,289,0100100001,10
50,0x05c154,294,0100100110,10
51,0x05c15c,307,0100110011,10
52,0x05c164,313,0100111001,10
53,0x05c16c,417,0110100001,10
54,0x05c174,420,0110100100,10
55,0x05c17c,421,0110100101,10
56,0x05c184,422,0110100110,10
57,0x05c18c,423,0110100111,10
58,0x05c194,430,0110101110,10
59,0x05c19c,431,0110101111,10
60,0x05c1a4,11,00000001011,11
61,0x05c1ac,25,00000011001,11
62,0x05c1b4,133,00010000101,11
63,0x05c1bc,144,00010010000,11
64,0x05c1c4,155,00010011011,11
65,0x05c1cc,170,00010101010,11
66,0x05c1d4,175,00010101111,11
67,0x05c1dc,268,00100001100,11
68,0x05c1e4,270,00100001110,11
69,0x05c1ec,284,00100011100,11
70,0x05c1f4,286,00100011110,11
71,0x05c1fc,307,00100110011,11
72,0x05c204,324,00101000100,11
73,0x05c20c,352,00101100000,11
74,0x05c214,372,00101110100,11
75,0x05c21c,373,00101110101,11
76,0x05c224,375,00101110111,11
77,0x05c22c,376,00101111000,11
78,0x05c234,585,01001001001,11
79,0x05c23c,587,01001001011,11
80,0x05c244,594,01001010010,11
81,0x05c24c,609,01001100001,11
82,0x05c254,613,01001100101,11
83,0x05c25c,624,01001110000,11
84,0x05c264,850,01101010010,11
85,0x05c26c,851,01101010011,11
86,0x05c274,853,01101010101,11
87,0x05c27c,857,01101011001,11
88,0x05c284,16,000000010000,12
89,0x05c28c,17,000000010001,12
90,0x05c294,19,000000010011,12
91,0x05c29c,52,000000110100,12
92,0x05c2a4,53,000000110101,12
93,0x05c2ac,54,000000110110,12
94,0x05c2b4,55,000000110111,12
95,0x05c2bc,61,000000111101,12
96,0x05c2c4,62,000000111110,12
97,0x05c2cc,265,000100001001,12
98,0x05c2d4,294,000100100110,12
99,0x05c2dc,342,000101010110,12
100,0x05c2e4,538,001000011010,12
101,0x05c2ec,542,001000011110,12
102,0x05c2f4,570,001000111010,12
103,0x05c2fc,574,001000111110,12
104,0x05c304,654,001010001110,12
105,0x05c30c,655,001010001111,12
106,0x05c314,719,001011001111,12
107,0x05c31c,1169,010010010001,12
108,0x05c324,1172,010010010100,12
109,0x05c32c,1183,010010011111,12
110,0x05c334,1184,010010100000,12
111,0x05c33c,1187,010010100011,12
112,0x05c344,1190,010010100110,12
113,0x05c34c,1191,010010100111,12
114,0x05c354,1197,010010101101,12
115,0x05c35c,1198,010010101110,12
116,0x05c364,1216,010011000000,12
117,0x05c36c,1220,010011000100,12
118,0x05c374,1222,010011000110,12
119,0x05c37c,1224,010011001000,12
120,0x05c384,1225,010011001001,12
121,0x05c38c,1269,010011110101,12
122,0x05c394,1270,010011110110,12
123,0x05c39c,1271,010011110111,12
124,0x05c3a4,1664,011010000000,12
125,0x05c3ac,1666,011010000010,12
126,0x05c3b4,1667,011010000011,12
127,0x05c3bc,1672,011010001000,12
128,0x05c3c4,1673,011010001001,12
129,0x05c3cc,1677,011010001101,12
130,0x05c3d4,1678,011010001110,12
131,0x05c3dc,1679,011010001111,12
132,0x05c3e4,1698,011010100010,12
133,0x05c3ec,1699,011010100011,12
134,0x05c3f4,1705,011010101001,12
135,0x05c3fc,1712,011010110000,12
136,0x05c404,1713,011010110001,12
137,0x05c40c,1716,011010110100,12
138,0x05c414,1717,011010110101,12
139,0x05c41c,36,0000000100100,13
140,0x05c424,96,0000001100000,13
141,0x05c42c,99,0000001100011,13
142,0x05c434,120,0000001111000,13
143,0x05c43c,121,0000001111001,13
144,0x05c444,529,0001000010001,13
145,0x05c44c,580,0001001000100,13
146,0x05c454,581,0001001000101,13
147,0x05c45c,583,0001001000111,13
148,0x05c464,584,0001001001000,13
149,0x05c46c,585,0001001001001,13
150,0x05c474,586,0001001001010,13
151,0x05c47c,587,0001001001011,13
152,0x05c484,619,0001001101011,13
153,0x05c48c,687,0001010101111,13
154,0x05c494,696,0001010111000,13
155,0x05c49c,699,0001010111011,13
156,0x05c4a4,1078,0010000110110,13
157,0x05c4ac,1142,0010001110110,13
158,0x05c4b4,1143,0010001110111,13
159,0x05c4bc,1150,0010001111110,13
160,0x05c4c4,1224,0010011001000,13
161,0x05c4cc,1225,0010011001001,13
162,0x05c4d4,1226,0010011001010,13
163,0x05c4dc,1300,0010100010100,13
164,0x05c4e4,1414,0010110000110,13
165,0x05c4ec,1415,0010110000111,13
166,0x05c4f4,1432,0010110011000,13
167,0x05c4fc,1437,0010110011101,13
168,0x05c504,1497,0010111011001,13
169,0x05c50c,1498,0010111011010,13
170,0x05c514,2336,0100100100000,13
171,0x05c51c,2337,0100100100001,13
172,0x05c524,2363,0100100111011,13
173,0x05c52c,2364,0100100111100,13
174,0x05c534,2365,0100100111101,13
175,0x05c53c,2370,0100101000010,13
176,0x05c544,2371,0100101000011,13
177,0x05c54c,2372,0100101000100,13
178,0x05c554,2373,0100101000101,13
179,0x05c55c,2393,0100101011001,13
180,0x05c564,2398,0100101011110,13
181,0x05c56c,2399,0100101011111,13
182,0x05c574,2434,0100110000010,13
183,0x05c57c,2435,0100110000011,13
184,0x05c584,2446,0100110001110,13
185,0x05c58c,2447,0100110001111,13
186,0x05c594,2500,0100111000100,13
187,0x05c59c,2535,0100111100111,13
188,0x05c5a4,2536,0100111101000,13
189,0x05c5ac,2537,0100111101001,13
190,0x05c5b4,3330,0110100000010,13
191,0x05c5bc,3351,0110100010111,13
192,0x05c5c4,3352,0110100011000,13
193,0x05c5cc,3353,0110100011001,13
194,0x05c5d4,3393,0110101000001,13
195,0x05c5dc,3394,0110101000010,13
196,0x05c5e4,3395,0110101000011,13
197,0x05c5ec,3408,0110101010000,13
198,0x05c5f4,3423,0110101011111,13
199,0x05c5fc,3437,0110101101101,13
200,0x05c604,3438,0110101101110,13
201,0x05c60c,3439,0110101101111,13
202,0x05c614,82,00000001010010,14
203,0x05c61c,83,00000001010011,14
204,0x05c624,84,00000001010100,14
205,0x05c62c,85,00000001010101,14
