symbol_index,file_offset_hex,code_dec,code_bin,bit_length
0,0x05eacc,64,1000000,7
1,0x05ead4,5065,1001111001001,13
2,0x05eadc,2557,100111111101,12
3,0x05eae4,508,000000111111100,15
4,0x05eaec,2556,100111111100,12
5,0x05eaf4,2691,000000101010000011,18
6,0x05eafc,77108,10010110100110100,17
7,0x05eb04,33724,1000001110111100,16
8,0x05eb0c,2106,100000111010,12
9,0x05eb14,2040,00000011111111000,17
10,0x05eb1c,1021,0000001111111101,16
11,0x05eb24,1023,0000001111111111,16
12,0x05eb2c,121,0000001111001,13
13,0x05eb34,2690,000000101010000010,18
14,0x05eb3c,38557,1001011010011101,16
15,0x05eb44,676,0000001010100100,16
16,0x05eb4c,2424,100101111000,12
17,0x05eb54,1347,00000010101000011,17
18,0x05eb5c,16863,100000111011111,15
19,0x05eb64,2041,00000011111111001,17
20,0x05eb6c,4851,1001011110011,13
21,0x05eb74,154219,100101101001101011,18
22,0x05eb7c,155385,100101111011111001,18
23,0x05eb84,1018,0000001111111010,16
24,0x05eb8c,8430,10000011101110,14
25,0x05eb94,616875,10010110100110101011,20
26,0x05eb9c,38556,1001011010011100,16
27,0x05eba4,155384,100101111011111000,18
28,0x05ebac,4818,1001011010010,13
29,0x05ebb4,2693,000000101010000101,18
30,0x05ebbc,38558,1001011010011110,16
31,0x05ebc4,19400,100101111001000,15
32,0x05ebcc,61,000000111101,12
33,0x05ebd4,77695,10010111101111111,17
34,0x05ebdc,674,0000001010100010,16
35,0x05ebe4,38559,1001011010011111,16
36,0x05ebec,9710,10010111101110,14
37,0x05ebf4,1233749,100101101001101010101,21
38,0x05ebfc,77693,10010111101111101,17
39,0x05ec04,77694,10010111101111110,17
40,0x05ec0c,2533,100111100101,12
41,0x05ec14,2689,000000101010000001,18
42,0x05ec1c,308436,1001011010011010100,19
43,0x05ec24,33725,1000001110111101,16
44,0x05ec2c,120,0000001111000,13
45,0x05ec34,38555,1001011010011011,16
46,0x05ec3c,1022,0000001111111110,16
47,0x05ec44,677,0000001010100101,16
48,0x05ec4c,126,0000001111110,13
49,0x05ec54,2688,000000101010000000,18
50,0x05ec5c,675,0000001010100011,16
51,0x05ec64,1019,0000001111111011,16
52,0x05ec6c,4214,1000001110110,13
53,0x05ec74,2692,000000101010000100,18
54,0x05ec7c,339,000000101010011,15
55,0x05ec84,19401,100101111001001,15
56,0x05ec8c,85,0000001010101,13
57,0x05ec94,1233748,100101101001101010100,21
58,0x05ec9c,19422,100101111011110,15
59,0x05eca4,9701,10010111100101,14
60,0x05ecac,603,1001011011,10
61,0x05ecb4,19276,100101101001100,15
62,0x05ecbc,2411,100101101011,12
63,0x05ecc4,2410,100101101010,12
64,0x05eccc,1,01,2
65,0x05ecd4,0,0000000,7
66,0x05ecdc,38,100110,6
67,0x05ece4,299,100101011,9
68,0x05ecec,7,111,3
69,0x05ecf4,527,1000001111,10
70,0x05ecfc,4,000000100,9
71,0x05ed04,40,000000101000,12
72,0x05ed0c,6,110,3
73,0x05ed14,522,1000001010,10
74,0x05ed1c,296,100101000,9
75,0x05ed24,43,000000101011,12
76,0x05ed2c,17,10001,5
77,0x05ed34,27,00000011011,11
78,0x05ed3c,314,100111010,9
79,0x05ed44,1279,10011111111,11
80,0x05ed4c,3,0011,4
81,0x05ed54,631,1001110111,10
82,0x05ed5c,262,100000110,9
83,0x05ed64,2105,100000111001,12
84,0x05ed6c,11,1011,4
85,0x05ed74,635,1001111011,10
86,0x05ed7c,300,100101100,9
87,0x05ed84,1215,10010111111,11
88,0x05ed8c,9,001001,6
89,0x05ed94,53,000000110101,12
90,0x05ed9c,638,1001111110,10
91,0x05eda4,5064,1001111001000,13
92,0x05edac,1,000001,6
93,0x05edb4,1194,10010101010,11
94,0x05edbc,520,1000001000,10
95,0x05edc4,41,000000101001,12
96,0x05edcc,1,0001,4
97,0x05edd4,596,1001010100,10
98,0x05eddc,302,100101110,9
99,0x05ede4,2104,100000111000,12
100,0x05edec,36,100100,6
101,0x05edf4,1267,10011110011,11
102,0x05edfc,630,1001110110,10
103,0x05ee04,4854,1001011110110,13
104,0x05ee0c,1,00001,5
105,0x05ee14,634,1001111010,10
106,0x05ee1c,318,100111110,9
107,0x05ee24,62,000000111110,12
108,0x05ee2c,8,001000,6
109,0x05ee34,1043,10000010011,11
110,0x05ee3c,12,0000001100,10
111,0x05ee44,1214,10010111110,11
112,0x05ee4c,20,10100,5
113,0x05ee54,1042,10000010010,11
114,0x05ee5c,595,1001010011,10
115,0x05ee64,2426,100101111010,12
116,0x05ee6c,33,100001,6
117,0x05ee74,1195,10010101011,11
118,0x05ee7c,523,1000001011,10
119,0x05ee84,52,000000110100,12
120,0x05ee8c,21,10101,5
121,0x05ee94,632,1001111000,10
122,0x05ee9c,594,1001010010,10
123,0x05eea4,2408,100101101000,12
124,0x05eeac,5,00101,5
125,0x05eeb4,11,0000001011,10
126,0x05eebc,156,10011100,8
127,0x05eec4,14,0000001110,10
