entry_index,file_offset_hex,symbol_hex,symbol_dec,bit_length
0,0x0005eed0,0x00000040,64,1
1,0x0005eed8,0x00000001,1,23
2,0x0005eee0,0x00000006,6,9
3,0x0005eee8,0x00000005,5,5
4,0x0005eef0,0x00000005,5,6
5,0x0005eef8,0x00000005,5,71
6,0x0005ef00,0x00000009,9,32
7,0x0005ef08,0x00000007,7,16
8,0x0005ef10,0x00000007,7,2
9,0x0005ef18,0x00000005,5,124
10,0x0005ef20,0x00000009,9,58
11,0x0005ef28,0x00000007,7,29
12,0x0005ef30,0x00000007,7,2
13,0x0005ef38,0x00000006,6,236
14,0x0005ef40,0x00000009,9,119
15,0x0005ef48,0x00000008,8,0
16,0x0005ef50,0x00000008,8,3
17,0x0005ef58,0x00000005,5,183
18,0x0005ef60,0x00000009,9,44
19,0x0005ef68,0x00000007,7,19
20,0x0005ef70,0x00000007,7,1
21,0x0005ef78,0x00000006,6,360
22,0x0005ef80,0x0000000a,10,70
23,0x0005ef88,0x00000008,8,63
24,0x0005ef90,0x00000008,8,30
25,0x0005ef98,0x00000006,6,1810
26,0x0005efa0,0x0000000d,13,181
27,0x0005efa8,0x00000009,9,66
28,0x0005efb0,0x00000008,8,34
29,0x0005efb8,0x00000007,7,453
30,0x0005efc0,0x0000000b,11,286
31,0x0005efc8,0x0000000a,10,135
32,0x0005efd0,0x00000009,9,6
33,0x0005efd8,0x00000004,4,3
34,0x0005efe0,0x00000009,9,30
35,0x0005efe8,0x00000007,7,28
36,0x0005eff0,0x00000006,6,18
37,0x0005eff8,0x00000007,7,904
38,0x0005f000,0x0000000c,12,68
39,0x0005f008,0x00000009,9,112
40,0x0005f010,0x00000009,9,31
41,0x0005f018,0x00000006,6,574
42,0x0005f020,0x0000000b,11,57
43,0x0005f028,0x00000008,8,142
44,0x0005f030,0x00000009,9,1
45,0x0005f038,0x00000007,7,454
46,0x0005f040,0x0000000b,11,182
47,0x0005f048,0x00000009,9,69
48,0x0005f050,0x00000009,9,20
49,0x0005f058,0x00000006,6,575
50,0x0005f060,0x0000000b,11,125
51,0x0005f068,0x00000009,9,24
52,0x0005f070,0x00000009,9,7
53,0x0005f078,0x00000007,7,455
54,0x0005f080,0x0000000b,11,134
55,0x0005f088,0x00000009,9,25
56,0x0005f090,0x00000009,9,21
57,0x0005f098,0x00000006,6,475
58,0x0005f0a0,0x0000000a,10,2
59,0x0005f0a8,0x00000009,9,70
60,0x0005f0b0,0x00000009,9,13
61,0x0005f0b8,0x00000008,8,1811
62,0x0005f0c0,0x0000000d,13,474
63,0x0005f0c8,0x0000000a,10,361
64,0x0005f0d0,0x0000000a,10,0
