slice_index,relative_offset,absolute_file_offset_hex,vma_hex,next_slice_relative_offset,slice_length_bytes
0,0,0x60988,0x1c261588,128,128
1,128,0x60a08,0x1c261608,280,152
2,280,0x60aa0,0x1c2616a0,360,80
3,360,0x60af0,0x1c2616f0,392,32
4,392,0x60b10,0x1c261710,504,112
5,504,0x60b80,0x1c261780,656,152
6,656,0x60c18,0x1c261818,752,96
7,752,0x60c78,0x1c261878,792,40
8,792,0x60ca0,0x1c2618a0,880,88
9,880,0x60cf8,0x1c2618f8,992,112
10,992,0x60d68,0x1c261968,1064,72
11,1064,0x60db0,0x1c2619b0,1088,24
12,1088,0x60dc8,0x1c2619c8,1208,120
13,1208,0x60e40,0x1c261a40,1384,176
14,1384,0x60ef0,0x1c261af0,1448,64
15,1448,0x60f30,0x1c261b30,1472,24
16,1472,0x60f48,0x1c261b48,1536,64
17,1536,0x60f88,0x1c261b88,1624,88
18,1624,0x60fe0,0x1c261be0,1736,112
19,1736,0x61050,0x1c261c50,1776,40
20,1776,0x61078,0x1c261c78,1888,112
21,1888,0x610e8,0x1c261ce8,2056,168
22,2056,0x61190,0x1c261d90,2112,56
23,2112,0x611c8,0x1c261dc8,2168,56
